Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Molly McCann (13574834),Molly McCann,13574834,F,9400,Belbita@McCann 10/18/2019 06:00PM ET,McCann,69.83
F,Greg Hardy (13574826),Greg Hardy,13574826,F,9300,Hardy@Sosoli 10/18/2019 06:00PM ET,Hardy,73.17
F,Sean Brady (13574838),Sean Brady,13574838,F,9200,Brady@McGee 10/18/2019 06:00PM ET,Brady,0
F,Boston Salmon (13574822),Boston Salmon,13574822,F,9000,Costa@Salmon 10/18/2019 06:00PM ET,Salmon,0
F,Kevin Holland (13574818),Kevin Holland,13574818,F,8900,Allen@Holland 10/18/2019 06:00PM ET,Holland,76.62
F,Dominick Reyes (13574814),Dominick Reyes,13574814,F,8800,Reyes@Weidman 10/18/2019 06:00PM ET,Reyes,92.9
F,Manny Bermudez (13574832),Manny Bermudez,13574832,F,8700,Bermudez@Rosa 10/18/2019 06:00PM ET,Bermudez,92.12
F,Tanner Boser (13574820),Tanner Boser,13574820,F,8600,Boser@Spitz 10/18/2019 06:00PM ET,Boser,0
F,Jonathan Pearce (13574824),Jonathan Pearce,13574824,F,8500,Lauzon@Pearce 10/18/2019 06:00PM ET,Pearce,0
F,Kyle Bochniak (13574836),Kyle Bochniak,13574836,F,8400,Bochniak@Woodson 10/18/2019 06:00PM ET,Bochniak,38
F,Maycee Barber (13574816),Maycee Barber,13574816,F,8300,Barber@Robertson 10/18/2019 06:00PM ET,Barber,104.75
F,Deron Winn (13574830),Deron Winn,13574830,F,8200,Stewart@Winn 10/18/2019 06:00PM ET,Winn,114.5
F,Jeremy Stephens (13574828),Jeremy Stephens,13574828,F,8100,Rodriguez@Stephens 10/18/2019 06:00PM ET,Stephens,54.05
F,Yair Rodriguez (13574829),Yair Rodriguez,13574829,F,8100,Rodriguez@Stephens 10/18/2019 06:00PM ET,Rodriguez,71.83
F,Darren Stewart (13574831),Darren Stewart,13574831,F,8000,Stewart@Winn 10/18/2019 06:00PM ET,Stewart,52.56
F,Gillian Robertson (13574817),Gillian Robertson,13574817,F,7900,Barber@Robertson 10/18/2019 06:00PM ET,Robertson,90
F,Sean Woodson (13574837),Sean Woodson,13574837,F,7800,Bochniak@Woodson 10/18/2019 06:00PM ET,Woodson,0
F,Joe Lauzon (13574825),Joe Lauzon,13574825,F,7700,Lauzon@Pearce 10/18/2019 06:00PM ET,Lauzon,66.96
F,Daniel Spitz (13574821),Daniel Spitz,13574821,F,7600,Boser@Spitz 10/18/2019 06:00PM ET,Spitz,45.5
F,Charles Rosa (13574833),Charles Rosa,13574833,F,7500,Bermudez@Rosa 10/18/2019 06:00PM ET,Rosa,68.6
F,Chris Weidman (13574815),Chris Weidman,13574815,F,7400,Reyes@Weidman 10/18/2019 06:00PM ET,Weidman,82.96
F,Brendan Allen (13574819),Brendan Allen,13574819,F,7300,Allen@Holland 10/18/2019 06:00PM ET,Allen,0
F,Randy Costa (13574823),Randy Costa,13574823,F,7200,Costa@Salmon 10/18/2019 06:00PM ET,Costa,23
F,Court McGee (13574839),Court McGee,13574839,F,7000,Brady@McGee 10/18/2019 06:00PM ET,McGee,65.8
F,Ben Sosoli (13574827),Ben Sosoli,13574827,F,6900,Hardy@Sosoli 10/18/2019 06:00PM ET,Sosoli,0
F,Diana Belbita (13574835),Diana Belbita,13574835,F,6800,Belbita@McCann 10/18/2019 06:00PM ET,Belbita,0
