Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Marvin Vettori (13543591),Marvin Vettori,13543591,F,9500,Sanchez@Vettori 10/12/2019 05:00PM ET,Vettori,61.33
F,Miguel Baeza (13543583),Miguel Baeza,13543583,F,9400,Aldana@Baeza 10/12/2019 05:00PM ET,Baeza,0
F,Deiveson Figueiredo (13543577),Deiveson Figueiredo,13543577,F,9300,Elliott@Figueiredo 10/12/2019 05:00PM ET,Figueiredo,81.08
F,Joanna Jedrzejczyk (13543565),Joanna Jedrzejczyk,13543565,F,9200,Jedrzejczyk@Waterson 10/12/2019 05:00PM ET,Jedrzejczyk,84.38
F,Marlon Vera (13543585),Marlon Vera,13543585,F,9100,Ewell@Vera 10/12/2019 05:00PM ET,Vera,71.54
F,Luis Pena (13543587),Luis Pena,13543587,F,9000,Frevola@Pena 10/12/2019 05:00PM ET,Pena,83.75
F,JJ Aldrich (13543569),JJ Aldrich,13543569,F,8900,Aldrich@Mueller 10/12/2019 05:00PM ET,Aldrich,45
F,Ryan Spann (13543567),Ryan Spann,13543567,F,8800,Clark@Spann 10/12/2019 05:00PM ET,Spann,93.75
F,Kron Gracie (13543579),Kron Gracie,13543579,F,8700,Gracie@Swanson 10/12/2019 05:00PM ET,Gracie,99
F,Mike Davis (13543581),Mike Davis,13543581,F,8600,Davis@Gifford 10/12/2019 05:00PM ET,Davis,6.5
F,Eryk Anders (13543575),Eryk Anders,13543575,F,8500,Anders@Meerschaert 10/12/2019 05:00PM ET,Anders,67.38
F,Niko Price (13543589),Niko Price,13543589,F,8400,Price@Vick 10/12/2019 05:00PM ET,Price,72.89
F,Mackenzie Dern (13543571),Mackenzie Dern,13543571,F,8300,Dern@Ribas 10/12/2019 05:00PM ET,Dern,94.75
F,Max Griffin (13543573),Max Griffin,13543573,F,8200,Griffin@Morono 10/12/2019 05:00PM ET,Griffin,62.86
F,Alex Morono (13543574),Alex Morono,13543574,F,8000,Griffin@Morono 10/12/2019 05:00PM ET,Morono,63.31
F,Amanda Ribas (13543572),Amanda Ribas,13543572,F,7900,Dern@Ribas 10/12/2019 05:00PM ET,Ribas,99.5
F,James Vick (13543590),James Vick,13543590,F,7800,Price@Vick 10/12/2019 05:00PM ET,Vick,61.96
F,Gerald Meerschaert (13543576),Gerald Meerschaert,13543576,F,7700,Anders@Meerschaert 10/12/2019 05:00PM ET,Meerschaert,73.88
F,Thomas Gifford (13543582),Thomas Gifford,13543582,F,7600,Davis@Gifford 10/12/2019 05:00PM ET,Gifford,23
F,Cub Swanson (13543580),Cub Swanson,13543580,F,7500,Gracie@Swanson 10/12/2019 05:00PM ET,Swanson,69.12
F,Devin Clark (13543568),Devin Clark,13543568,F,7400,Clark@Spann 10/12/2019 05:00PM ET,Clark,53.5
F,Lauren Mueller (13543570),Lauren Mueller,13543570,F,7300,Aldrich@Mueller 10/12/2019 05:00PM ET,Mueller,35.67
F,Matt Frevola (13543588),Matt Frevola,13543588,F,7200,Frevola@Pena 10/12/2019 05:00PM ET,Frevola,50.67
F,Andre Ewell (13543586),Andre Ewell,13543586,F,7100,Ewell@Vera 10/12/2019 05:00PM ET,Ewell,48.5
F,Michelle Waterson (13543566),Michelle Waterson,13543566,F,7000,Jedrzejczyk@Waterson 10/12/2019 05:00PM ET,Waterson,72.86
F,Tim Elliott (13543578),Tim Elliott,13543578,F,6900,Elliott@Figueiredo 10/12/2019 05:00PM ET,Elliott,70.8
F,Hector Aldana (13543584),Hector Aldana,13543584,F,6800,Aldana@Baeza 10/12/2019 05:00PM ET,Aldana,32
F,Andrew Sanchez (13543592),Andrew Sanchez,13543592,F,6700,Sanchez@Vettori 10/12/2019 05:00PM ET,Sanchez,75.42
